date,open,high,low,close,volume_hands,rsi_14,macd_dif,macd_dea,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,bb_width_20,bb_percent_b_20,true_range,atr_14,atr_pct_14
20250922,10.63,10.63,10.4,10.44,57721.0,40.22873456852053,-0.2398490597384786,-0.22692556081111637,-0.01292349892736222,11.01,11.926561078448325,10.093438921551675,0.16649610870995912,0.18905509223402153,0.23000000000000043,0.3690231844251129,3.5347048316581695
20250923,10.48,10.48,9.99,10.19,76236.0,37.09813073485623,-0.2712727615001622,-0.23579500094892555,-0.035477760551236664,10.904499999999999,11.66898744439109,10.140012555608907,0.1402150386337919,0.032693437124338386,0.4900000000000002,0.37766438553760484,3.706225569554513
20250924,10.21,10.6,10.15,10.58,63977.01,44.37094808965895,-0.26168993226501236,-0.24097398721214291,-0.020715945052869444,10.8535,11.556224772057458,10.150775227942543,0.1294927483406197,0.3054003424418645,0.4499999999999993,0.3828312151420616,3.6184424871650434
20250925,10.56,10.65,10.43,10.47,47198.01,42.86552009300394,-0.2599747249467015,-0.24477413475905463,-0.015200590187646856,10.815000000000001,11.512921726873548,10.117078273126454,0.12906550658780344,0.25283761293298335,0.22000000000000064,0.3712004140604858,3.5453716720199218
20250926,10.47,10.57,10.34,10.47,39879.0,42.86552009300394,-0.25566822662099753,-0.24695295313144322,-0.00871527348955431,10.7545,11.33692596095989,10.17207403904011,0.10831297800174626,0.2557629475074239,0.23000000000000043,0.3611146701990226,3.449041740200789
20250929,10.45,10.55,10.25,10.52,42651.0,43.86945879222441,-0.24539198745845425,-0.24664075999684543,0.001248772538391174,10.7085,11.2014086602693,10.215591339730702,0.09205932862105778,0.30878810295500286,0.3000000000000007,0.3567493366133782,3.39115338986101
20250930,10.52,10.65,10.48,10.62,33523.0,45.9163265182212,-0.22656710506662314,-0.242626029010801,0.01605892394417785,10.683000000000002,11.135180681167505,10.230819318832499,0.08465425089722045,0.4303375811662937,0.16999999999999993,0.3434100982838512,3.2336167446690323
20251009,10.76,10.76,10.42,10.51,44385.1,44.01494998371779,-0.2180112330494719,-0.23770306981853517,0.019691836769063276,10.6675,11.121157649729343,10.213842350270658,0.0850541644676526,0.32641095097374956,0.33999999999999986,0.3431665198350047,3.2651429099429565
20251010,10.47,10.73,10.45,10.69,53601.01,47.82252571710647,-0.1944644816622496,-0.22905535218727807,0.03459087052502846,10.68,11.120860402777225,10.239139597222774,0.08255812786090368,0.5113414585853076,0.28000000000000114,0.33865462556107584,3.167957208242057
20251013,10.3,10.62,10.05,10.61,54755.0,46.31488037031412,-0.18018181910346165,-0.2192806455705148,0.03909882646705315,10.680499999999999,11.12100091104518,10.239999088954818,0.08248694556344381,0.41997746402757363,0.6399999999999988,0.36017929516385605,3.3947153172842235
