date,close,ma_5,ma_15,signal,position,strategy_return,strategy_cum_return,strategy_nav,benchmark_return,benchmark_cum_return,benchmark_nav,drawdown
20251231,10.18,10.118,10.099333333333334,1,1,0.0,-0.13302307513013778,86697.69248698623,0.013944223107569709,-0.06347746090156525,93652.25390984348,-0.13896127324568477
20260105,10.26,10.132000000000001,10.098,0,1,0.007858546168958647,-0.12620989693862616,87379.01030613738,0.007858546168958647,-0.056117755289789795,94388.22447102102,-0.13219476065822466
20260106,10.29,10.174,10.107333333333333,0,1,0.0029239766081869956,-0.12365495511680935,87634.50448831907,0.0029239766081869956,-0.05335786568537415,94664.21343146259,-0.12965731843792708
20260107,10.08,10.169999999999998,10.104000000000001,0,1,-0.020408163265306034,-0.1415395478695275,85846.04521304725,-0.020408163265306034,-0.07267709291628477,92732.29070837153,-0.14741941398001018
20260108,10.3,10.222,10.132,0,1,0.02182539682539697,-0.12280330784287019,87719.66921571299,0.02182539682539697,-0.05243790248390201,94756.2097516098,-0.12881150436449434
20260109,10.51,10.288,10.175333333333333,0,1,0.02038834951456292,-0.10491871509015216,89508.12849098479,0.02038834951456292,-0.0331186752529915,96688.13247470085,-0.11104940882241138
20260112,10.63,10.362,10.219333333333333,0,1,0.011417697431018281,-0.09469894780288446,90530.10521971155,0.011417697431018281,-0.02207911683532804,97792.0883164672,-0.10089963994122095
20260113,10.64,10.431999999999999,10.242666666666667,0,1,0.0009407337723423836,-0.09384730052894552,90615.26994710545,0.0009407337723423836,-0.02115915363385612,97884.08463661438,-0.10005382586778837
20260114,10.86,10.588,10.29,0,1,0.020676691729323293,-0.07511106050228844,92488.89394977115,0.020676691729323293,-0.0009199632014734727,99908.00367985266,-0.08144591625227282
20260115,10.64,10.656,10.330666666666666,0,1,-0.02025782688766109,-0.09384730052894552,90615.26994710545,-0.02025782688766109,-0.02115915363385612,97884.08463661438,-0.10005382586778837
20260116,10.5,10.654,10.353333333333332,0,1,-0.013157894736842146,-0.10577036236409099,89422.9637635909,-0.013157894736842146,-0.03403863845446331,96596.13615455366,-0.11189522289584382
20260119,10.49,10.626000000000001,10.373333333333333,0,1,-0.0009523809523809268,-0.10662200963802992,89337.799036197,-0.0009523809523809268,-0.03495860165593523,96504.13983440648,-0.1127410369692764
20260120,11.54,10.806,10.470666666666666,0,1,0.100095328884652,-0.0171990458744391,98280.0954125561,0.100095328884652,0.06163753449861842,106163.75344986185,-0.023930559258860725
20260121,11.2,10.874,10.544,0,1,-0.029462738301559765,-0.04615505318836377,95384.49468116362,-0.029462738301559765,0.030358785648572528,103035.87856485725,-0.052688237755566844
20260122,11.23,10.992,10.623333333333333,0,1,0.00267857142857153,-0.043600111366546845,95639.98886334531,0.00267857142857153,0.033118675252988394,103311.86752529883,-0.05015079553526924
20260123,11.41,11.174,10.705333333333332,0,1,0.01602849510240434,-0.028270460435645517,97172.95395643545,0.01602849510240434,0.04967801287948337,104967.80128794834,-0.03492614221348359
20260126,11.22,11.32,10.769333333333332,0,1,-0.016652059596844793,-0.04445175864048567,95554.82413595144,-0.016652059596844793,0.03219871205151659,103219.87120515166,-0.05099660960870153
20260127,11.33,11.278,10.838666666666667,0,1,0.009803921568627416,-0.03508363862715713,96491.63613728428,0.009803921568627416,0.0423183072677078,104231.83072677079,-0.04169265480094383
20260128,11.0,11.238,10.9,0,1,-0.029126213592232997,-0.06318799866714286,93681.20013328572,-0.029126213592232997,0.011959521619133717,101195.95216191337,-0.06960451922421722
20260129,10.97,11.186000000000002,10.944666666666668,0,1,-0.0027272727272726893,-0.06574294048895968,93425.70595110403,-0.0027272727272726893,0.009199632014717851,100919.96320147178,-0.07214196144451483
20260130,11.06,11.116,10.981333333333334,0,1,0.008204193254329972,-0.058078115023509014,94192.1884976491,0.008204193254329972,0.017479300827965227,101747.93008279652,-0.064529634783622
20260202,10.79,11.03,10.991999999999999,0,1,-0.024412296564195413,-0.08107259141986112,91892.74085801389,-0.024412296564195413,-0.007359705611777234,99264.02943882228,-0.08736661476630048
20260203,10.89,10.942,11.008666666666668,-1,0,0.009267840593141896,-0.0725561186804714,92744.38813195286,0.009267840593141896,0.0018399264029422824,100183.99264029422,-0.07890847403197507
20260204,10.77,10.896,11.002666666666666,0,0,-0.0,-0.0725561186804714,92744.38813195286,-0.011019283746556585,-0.00919963201472107,99080.03679852789,-0.07890847403197507
20260205,10.9,10.882000000000001,11.020000000000001,0,0,0.0,-0.0725561186804714,92744.38813195286,0.0120705663881151,0.0027598896044140897,100275.9889604414,-0.07890847403197507
