date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20260119,10.5,10.58,10.41,10.49,10.5,-0.01,-0.0952,33715.53,3371553.0,35377.66,10.5,10.58,10.41,10.49,10.5,-0.01,-0.0952,1.214
20260120,10.55,11.54,10.51,11.54,10.49,1.05,10.0095,166207.89,16620789.000000002,186676.89,10.55,11.54,10.51,11.54,10.49,1.05,10.0095,1.214
20260121,11.49,11.49,11.05,11.2,11.54,-0.34,-2.9463,214430.42,21443042.0,239888.65,11.49,11.49,11.05,11.2,11.54,-0.34,-2.9463,1.214
20260122,11.14,11.34,11.06,11.23,11.2,0.03,0.2679,110288.44,11028844.0,123701.249,11.14,11.34,11.06,11.23,11.2,0.03,0.2679,1.214
20260123,11.33,11.5,11.19,11.41,11.23,0.18,1.6028,113127.42,11312742.0,128612.53,11.33,11.5,11.19,11.41,11.23,0.18,1.6028,1.214
20260126,11.39,11.39,11.11,11.22,11.41,-0.19,-1.6652,82857.01,8285700.999999999,92973.311,11.39,11.39,11.11,11.22,11.41,-0.19,-1.6652,1.214
20260127,11.26,11.63,11.11,11.33,11.22,0.11,0.9804,90507.0,9050700.0,102363.5,11.26,11.63,11.11,11.33,11.22,0.11,0.9804,1.214
20260128,11.21,11.4,10.94,11.0,11.33,-0.33,-2.9126,77648.5,7764850.0,86482.303,11.21,11.4,10.94,11.0,11.33,-0.33,-2.9126,1.214
20260129,10.94,11.23,10.81,10.97,11.0,-0.03,-0.2727,64660.0,6466000.0,71464.182,10.94,11.23,10.81,10.97,11.0,-0.03,-0.2727,1.214
20260130,10.99,11.12,10.81,11.06,10.97,0.09,0.8204,52367.22,5236722.0,57569.163,10.99,11.12,10.81,11.06,10.97,0.09,0.8204,1.214
20260202,11.05,11.14,10.76,10.79,11.06,-0.27,-2.4412,49964.01,4996401.0,54872.954,11.05,11.14,10.76,10.79,11.06,-0.27,-2.4412,1.214
20260203,10.97,11.06,10.75,10.89,10.79,0.1,0.9268,47933.0,4793300.0,52082.239,10.97,11.06,10.75,10.89,10.79,0.1,0.9268,1.214
20260204,10.93,10.94,10.69,10.77,10.89,-0.12,-1.1019,39188.0,3918800.0,42319.614,10.93,10.94,10.69,10.77,10.89,-0.12,-1.1019,1.214
20260205,10.85,11.01,10.75,10.9,10.77,0.13,1.2071,39363.0,3936300.0,42954.576,10.85,11.01,10.75,10.9,10.77,0.13,1.2071,1.214
20260206,10.86,10.99,10.7,10.87,10.9,-0.03,-0.2752,35440.01,3544001.0,38517.12,10.86,10.99,10.7,10.87,10.9,-0.03,-0.2752,1.214
20260209,11.05,11.15,10.92,11.06,10.87,0.19,1.7479,32490.0,3249000.0,35771.765,11.05,11.15,10.92,11.06,10.87,0.19,1.7479,1.214
20260210,11.1,11.17,10.99,11.11,11.06,0.05,0.4521,32033.0,3203300.0,35528.06,11.1,11.17,10.99,11.11,11.06,0.05,0.4521,1.214
20260211,11.18,11.18,10.96,11.08,11.11,-0.03,-0.27,37537.01,3753701.0,41543.05,11.18,11.18,10.96,11.08,11.11,-0.03,-0.27,1.214
20260212,11.04,11.2,10.82,10.98,11.08,-0.1,-0.9025,44981.01,4498101.0,49590.17,11.04,11.2,10.82,10.98,11.08,-0.1,-0.9025,1.214
20260213,10.97,11.2,10.95,11.1,10.98,0.12,1.0929,38749.21,3874921.0,43174.436,10.97,11.2,10.95,11.1,10.98,0.12,1.0929,1.214
20260224,11.19,11.52,11.19,11.49,11.1,0.39,3.5135,86124.82,8612482.0,97833.749,11.19,11.52,11.19,11.49,11.1,0.39,3.5135,1.214
20260225,11.49,11.89,11.4,11.64,11.49,0.15,1.3055,100871.43,10087143.0,117411.185,11.49,11.89,11.4,11.64,11.49,0.15,1.3055,1.214
20260226,11.64,11.92,11.56,11.76,11.64,0.12,1.0309,90396.43,9039643.0,106168.11,11.64,11.92,11.56,11.76,11.64,0.12,1.0309,1.214
20260227,11.76,11.85,11.61,11.66,11.76,-0.1,-0.8503,50012.0,5001200.0,58582.892,11.76,11.85,11.61,11.66,11.76,-0.1,-0.8503,1.214
20260302,11.23,11.43,10.65,10.98,11.66,-0.68,-5.8319,145873.01,14587301.0,159969.893,11.23,11.43,10.65,10.98,11.66,-0.68,-5.8319,1.214
20260303,11.0,11.25,10.7,10.72,10.98,-0.26,-2.3679,84954.01,8495401.0,92757.296,11.0,11.25,10.7,10.72,10.98,-0.26,-2.3679,1.214
20260304,10.71,10.93,10.6,10.81,10.72,0.09,0.8396,54536.01,5453601.0,58750.944,10.71,10.93,10.6,10.81,10.72,0.09,0.8396,1.214
20260305,10.95,11.06,10.8,10.96,10.81,0.15,1.3876,52669.5,5266950.0,57559.711,10.95,11.06,10.8,10.96,10.81,0.15,1.3876,1.214
20260306,10.9,12.0,10.86,11.87,10.96,0.91,8.3029,146667.01,14666701.0,170676.3,10.9,12.0,10.86,11.87,10.96,0.91,8.3029,1.214
